Wie heißt der Schattenwolf von John Snow?;Grauwind;Geist;Sommer;Stuppel;B
Wie heißen die drei Drachen von Daenerys Targaryen?;Drogon, Rhaegal, Viserion;Tick, Trick, Track;Athos, Porthos, Aramais;Dulcia, Fluitare, Gherni;A
Was sagen wir zum Gott des Todes?;Nicht heute;Heute leider nicht;Heute nicht;Leider Heute nicht;A
Welches Haus regiert den Norden?;Lennister;Tully;Baratheon;Stark;C
Wie viele Menschen müssen auf einer dothrakischen Hochzeit mindestens sterben?;5;3;13;7;B
Welchen gott verehren die Eisenmänner?;Die Sieben;Den Ertrunkenen;Der Rote Gott;Der vielgewichtige Gott;B
Warum stürzt Bran vom Turm?;wird geschubst;stolpert aus;rutscht aus;schläft ein;A
Welchen Teil eines Pferdes muss Daenarys essen?;Auge;Brust;Gehirn;Herz;D
Welches genaue Tier ist auf dem Wappen der Starks zu sehen?;Schattenwolf;Löwe;Rose;Drache;B
Was wurde mit Drachenfeuer geschmiedet?;Excalibur;Der eiserne Thron;Langklaue;Der Roter Bergfried;B
Wie heißt der Kontinent östlich von Westeros?;Essos;Ulthos;Sothoryos;Sommerinseln;A
Wie nennt man die Menschen, die nördlich der Mauer leben?;Wildlinge;Wiedergänger;Weiße Wanderer;Kinder des Waldes;A
Was schenkte John Arya zum Abschied?;Ein Pferd;Ein Bogen;Ein Buch;Ein Kurzschwert;D
"Wer sagt den Satz ""Der Winter naht."" als Erster in der Serie?";Catelyn Stark; Rob Stark;Eddard Stark;Bran Stark;C
Wer beschützt die Mauer?;Die Wildlinge;Die Nachtwache;Die Goldene Kompanie;Die Weißen Wanderer;B
Wie werden die Männer der Nachtwache (von den Wildlingen) auch genannt?;Krähen;Starks;Weiße Wanderer;Nordmänner;A
"Welches dothrakische Wort bedeutet ""Danke""?";anha;Danke;Es gibt keins;Athjahakar;C
Wie nennt man die Menschen über die ein Khal herrscht?;König;Khalasar;Khaleesi ;Rhaeshi;B
Wer ist Sansas erster Ehemann?;Ramsay Bolton;Loras Tyrell;Joffrey Baratheon;Tyrion Lannister;D
Welche Hand verliert Jaime Lennister?;Garkeins;Die Rechte ;Die Linke ;Beide Hände;B
Wie viele Königreiche gibt es in Westeros?;4;5;6;7;D
Welche Farben hat das Wappen der Targaryens?;Rot, Schwarz;Rot, Gold;Schwarz, Gold;Schwarz, Weiß;A
Womit kann man einen weißen Wanderer töten?;Schwert;Drachenglas;Pfeil;Feuer;B
Wer tötet Varys?;Daenerys Drache (Drogon);Daenerys Drache (Rhaegal);Daenerys Drache (Viserion);Jon Snow;A
Welche Haarfarbe haben alle Lennisters?;Rot;Schwarz;Blond;Braun;C
Wie heißt das Zuhause der Starks?;Karstark;Westeros;Graustein;Winterfell;D
Wie heißt die ehemalige Sklavin, die Daenerys als Übersetzerin und Beraterin dient?;Missandai;Irri;Grauer Wurm;Melisandre;A
Die Nacht ist dunkel und voller ...;Schnee;Schrecken;Grauen;Weiße Wanderer;B
Wer weiß nichts?;Ned Stark;Bran Stark;Samwell Tarly;Jon Snow;D
Welche Augenfarbe kommt nur bei den Targaryens vor?;Lila/ Violett;Blau/Gelb;Grün/Rot;Schwarz/Grau;A
Mit welchem Getränk sollte Daenerys vergiftet werden?;Wasser;Bier;Vodka;Wein;D
Welche Vögel verkünden den Winterausbruch?;weiße Raben;schwarze Raben;Weiße Adler;weiße Tauben;A
Wer wird als erste Frau zum Ritter geschlagen?;Missendei ;Thalias Stark;Brienne von Tarth;Arya Stark;C
Welches Körperteil verliert Tyrion fast bei der Schlacht am Schwarzwasser?;Nase;Kopf;Hand;Auge;A
Was bezahlt ein Lennister immer?;Die Rechnung;Das Bier;Seine Schulden;Die Zinsen;C
Zu welcher Familie gehört der alte Maester Aemon?;Lennister;Targaryen;Stark;Tully;B
Welcher Schauspieler spielt John Snow?;Iain Glenn;Kit Harington;Liam Cunningham;Aidan Gillen;B
Wie heißen die Ritter, die für den Schutz des Königs zuständig sind?;Königsgarde;Goldene Kompanie;Die Unbefleckten;Nachtwache;A
Wie viele Mitglieder hat die Königsgarde?;3;5;7;9;C
Was soll Jaime seiner Schwester unbedingt von Olenna Tyrell ausrichten?;dass Sie für Joffreys Tod verantwortlich war;dass Sie besser ist;dass Sie die Wahrheit kennt ;dass Sie es genossen hat;A
Welchen Nachnamen besitzen alle Bastarde des Nordens?;Sand;Schnee;Peik;Sturm;B
Welche Tiere wollte Cersei in der 8. Staffel unbedingt haben?;Drachen;Elefanten;Pferde;Wölfe;B
Welche Rolle spielt Maise Williams?;Sansa Stark;Deanery Tagaryen;Cersei Lannister;Arya Stark;D
Wer tötet den Nachtkönig?;Bran Stark;Arya Stark;Jon Snow;Rob Stark;B